2026-04-07 17:33:20 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=15.8, vvm=0.535691, potency=46.4%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:23 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=11.5, vvm=0.554764, potency=44.5%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:23 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=11.5, vvm=0.554764, potency=44.5%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:26 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=21.5, vvm=0.571409, potency=42.9%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:26 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=21.5, vvm=0.571409, potency=42.9%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:29 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=12.9, vvm=0.590656, potency=40.9%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:29 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=12.9, vvm=0.590656, potency=40.9%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:32 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=19.0, vvm=0.608031, potency=39.2%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:32 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=19.0, vvm=0.608031, potency=39.2%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:35 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=20.1, vvm=0.625226, potency=37.5%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:35 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=20.1, vvm=0.625226, potency=37.5%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:38 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=15.0, vvm=0.644723, potency=35.5%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:38 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=15.0, vvm=0.644723, potency=35.5%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:41 | INFO     | vaccine_monitor.anomaly_detector | ANOMALY DETECTED: temp=3.3°C, ext=23.4°C, humidity=52.8%, deviation=2.83σ
2026-04-07 17:33:41 | INFO     | vaccine_monitor.anomaly_detector | ANOMALY DETECTED: temp=3.3°C, ext=23.4°C, humidity=52.8%, deviation=2.83σ
2026-04-07 17:33:41 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=WARNING, risk=40.1, vvm=0.659955, potency=34.0%, exposure=0min, anomaly=True, eta=None
2026-04-07 17:33:41 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=WARNING, risk=40.1, vvm=0.659955, potency=34.0%, exposure=0min, anomaly=True, eta=None
2026-04-07 17:33:41 | WARNING  | vaccine_monitor.trigger_engine | STATUS CHANGE DETECTED: SAFE → WARNING | Risk: 40.1, Temp: 3.31°C
2026-04-07 17:33:41 | WARNING  | vaccine_monitor.trigger_engine | STATUS CHANGE DETECTED: SAFE → WARNING | Risk: 40.1, Temp: 3.31°C
2026-04-07 17:33:41 | INFO     | vaccine_monitor.trigger_engine | Firing trigger actions...
2026-04-07 17:33:41 | INFO     | vaccine_monitor.trigger_engine | Firing trigger actions...
2026-04-07 17:33:41 | INFO     | vaccine_monitor.crud      | Incident recorded: SAFE → WARNING, id=1
2026-04-07 17:33:41 | INFO     | vaccine_monitor.crud      | Incident recorded: SAFE → WARNING, id=1
2026-04-07 17:33:41 | WARNING  | vaccine_monitor.sms_service | Fast2SMS API key not configured — SMS alert skipped (logged only)
2026-04-07 17:33:41 | WARNING  | vaccine_monitor.sms_service | Fast2SMS API key not configured — SMS alert skipped (logged only)
2026-04-07 17:33:41 | INFO     | vaccine_monitor.sms_service | [SMS WOULD SEND] ALERT: Vaccine storage WARNING. Risk: 40.1/100. Temp: 3.31°C.
2026-04-07 17:33:41 | INFO     | vaccine_monitor.sms_service | [SMS WOULD SEND] ALERT: Vaccine storage WARNING. Risk: 40.1/100. Temp: 3.31°C.
2026-04-07 17:33:41 | WARNING  | vaccine_monitor.report_service | Anthropic API key not configured — generating fallback report
2026-04-07 17:33:41 | WARNING  | vaccine_monitor.report_service | Anthropic API key not configured — generating fallback report
2026-04-07 17:33:41 | INFO     | vaccine_monitor.pdf_service | Vaccine passport PDF generated: reports\passport_1.pdf
2026-04-07 17:33:41 | INFO     | vaccine_monitor.pdf_service | Vaccine passport PDF generated: reports\passport_1.pdf
2026-04-07 17:33:41 | INFO     | vaccine_monitor.trigger_engine | All trigger actions completed for incident 1
2026-04-07 17:33:41 | INFO     | vaccine_monitor.trigger_engine | All trigger actions completed for incident 1
2026-04-07 17:33:44 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=21.2, vvm=0.677127, potency=32.3%, exposure=0min, anomaly=False, eta=None
2026-04-07 17:33:44 | INFO     | vaccine_monitor.pipeline  | Pipeline complete: status=SAFE, risk=21.2, vvm=0.677127, potency=32.3%, exposure=0min, anomaly=False, eta=None
